source,target,weight
3,9733,1
6,8706,2
7,9686,1
8,11319,1
10,8410,1
12,12954,2
13,11589,3
14,13218,1
14,9111,1
15,10148,2
15,10616,1
16,14091,2
18,11630,1
19,14546,1
21,12508,1
21,11409,1
22,5771,1
25,10536,2
28,11689,1
30,9181,1
38,14088,1
41,10860,1
45,13327,1
47,10910,2
48,11390,2
53,8539,1
64,8791,1
72,10396,2
73,10393,1
74,12444,1
75,13169,1
76,14639,1
77,8852,1
89,13271,2
95,11562,5
97,11905,2
98,9831,1
102,7724,1
104,9897,1
105,10591,1
109,3236,1
112,10394,1
115,10505,1
115,703,1
115,3074,1
116,9997,1
117,12113,1
120,12121,1
121,7802,1
127,14821,3
128,12339,1
130,12583,2
131,5738,1
132,9828,1
133,14018,1
136,142,1
139,14873,4
146,13091,1
147,14923,1
149,10577,1
150,8003,2
153,14295,1
155,9788,1
159,13399,6
160,13860,1
164,13910,1
165,14773,1
166,12135,2
172,7933,1
179,10222,1
186,11718,2
187,9844,1
194,10200,1
195,10858,2
207,7764,2
207,9471,1
208,12401,1
210,9187,1
211,10103,1
212,8599,1
220,8480,1
221,10728,1
222,13865,1
227,8253,1
231,8300,4
244,13317,8
245,3444,1
248,8796,1
249,13938,1
256,12040,3
256,10502,1
258,12812,1
263,8894,1
271,14205,2
273,8690,1
278,1947,1
278,13432,1
279,13119,1
282,12721,1
282,8400,1
282,13172,1
284,8668,3
286,7725,1
289,14551,1
291,14942,1
292,1026,1
303,11403,1
306,11096,2
307,14286,1
311,7727,4
317,14563,1
317,13415,1
319,1862,2
321,9418,1
326,7642,1
327,14034,1
327,8116,1
329,9072,1
337,12573,2
338,8197,2
340,12005,1
342,13197,1
345,9392,2
349,13533,1
350,10888,2
353,9303,1
355,13779,1
356,10312,1
356,11187,1
361,14250,1
363,9264,1
364,10216,1
367,8632,5
378,10797,2
378,11049,1
381,1559,1
382,12198,1
391,8021,1
393,7973,1
394,12984,1
397,10230,1
397,11257,1
398,10417,1
401,6677,1
403,8565,1
407,13749,1
408,12146,2
414,11377,1
414,14759,1
416,14186,1
417,11076,5
420,8051,1
421,8364,1
422,9792,1
430,7039,1
431,12789,1
434,12579,1
435,9422,1
441,12661,1
445,10379,1
448,13636,1
449,12086,1
455,9654,2
458,8978,1
459,12533,1
461,13702,1
464,12405,1
468,12572,1
470,9346,1
472,8637,1
473,7829,1
480,11093,5
482,10911,3
483,14856,1
484,8932,2
486,12197,1
487,7645,1
497,8697,2
499,13410,2
500,14581,1
509,8163,2
514,11311,1
520,2336,1
522,10556,2
522,13051,1
528,7756,1
531,9979,1
533,13108,1
535,10402,1
536,7707,1
538,7853,1
541,12547,1
542,13807,2
548,12163,1
553,1418,1
560,10308,1
567,13787,2
568,14913,4
575,14734,1
577,13514,1
582,8329,2
589,11168,1
591,11372,2
595,9538,1
610,14045,2
618,8117,1
619,12486,2
621,14842,1
622,857,1
627,9134,1
628,14716,2
628,11984,1
629,8503,1
630,1477,1
632,11189,1
633,13318,1
638,10623,1
640,7634,1
644,10505,2
645,12318,1
645,8948,2
647,8061,1
649,9625,1
650,12606,1
657,13976,1
659,8685,1
660,14032,1
665,12965,1
676,2973,1
677,14816,1
683,11616,1
684,11969,2
689,9651,1
695,8714,2
697,8192,1
698,12311,1
700,9385,1
708,8334,1
709,7914,1
714,14381,1
720,12180,1
720,9555,2
725,14694,1
726,8832,1
726,8602,2
726,12523,2
727,11339,1
730,11179,1
735,8345,2
736,13162,1
739,14424,5
743,12669,4
749,8408,2
754,14445,1
755,11877,1
761,14012,1
761,9940,3
762,12076,1
773,12674,1
774,14063,3
775,4050,1
776,13419,1
789,12916,1
790,9295,1
791,13433,1
792,10297,1
795,11765,1
796,14249,2
797,13445,1
798,7795,3
799,8327,1
805,11641,1
809,1338,1
821,9256,2
823,11422,1
823,12980,2
825,13351,1
827,10871,1
827,11354,2
828,5717,1
831,14355,6
831,14299,1
834,14597,1
836,8530,1
841,12766,1
843,11427,1
852,14480,1
854,12130,1
859,12133,1
862,13878,2
863,9860,1
877,14342,2
881,13471,1
881,8818,1
885,11970,2
886,11857,1
888,10738,2
890,7950,2
894,10827,2
898,8625,2
898,9149,1
902,8454,2
903,14724,1
904,3828,1
905,10242,1
916,10881,1
929,10309,1
935,11970,3
936,1708,1
939,10852,1
939,11113,2
939,13159,1
940,8926,1
941,13696,4
944,9382,2
946,8841,1
947,13258,1
948,11242,1
956,11957,2
962,9167,1
974,10370,1
975,14258,1
978,8610,1
982,12374,1
984,12646,6
986,9115,1
989,12674,1
990,10574,2
990,14396,1
992,9684,1
994,4661,1
995,14318,2
996,10833,2
998,5680,1
1000,11441,1
1001,14001,2
1002,8374,1
1012,11018,1
1015,10600,1
1015,12804,2
1017,12178,1
1018,14514,2
1018,8245,1
1022,5761,1
1029,8188,1
1031,12665,1
1032,10517,1
1034,13824,1
1041,11944,1
1041,10376,1
1048,14944,1
1049,10452,1
1053,10011,2
1055,11942,1
1056,5267,1
1058,11342,1
1067,12168,1
1068,11736,2
1071,12858,1
1072,12943,1
1074,10765,1
1077,7706,1
1083,14488,1
1085,10528,4
1085,14319,4
1089,7549,3
1090,13227,1
1090,9231,1
1093,12479,1
1100,11939,1
1100,7503,1
1105,14861,1
1105,9791,1
1106,12305,1
1106,9300,1
1107,11130,1
1109,7931,1
1124,14891,1
1126,13229,1
1127,13470,1
1133,12184,1
1138,13884,1
1141,10491,1
1143,14333,5
1147,8011,1
1148,9591,1
1148,14576,1
1157,14412,3
1157,11560,1
1159,13952,3
1161,8874,1
1163,13222,2
1167,8088,3
1169,11371,5
1180,13985,1
1182,11513,1
1183,13364,1
1187,4943,1
1197,14587,1
1200,8532,1
1205,13615,1
1206,13045,1
1208,14654,1
1210,9487,2
1210,7697,1
1211,11037,1
1213,14937,6
1217,10183,2
1219,14866,1
1220,10924,1
1222,6807,1
1223,14970,1
1224,10708,1
1230,13720,1
1239,10484,1
1243,8483,1
1245,9165,2
1247,13521,2
1251,10903,1
1256,13542,2
1257,8654,1
1259,3469,1
1261,12548,4
1262,14783,1
1267,3956,1
1270,3760,1
1271,8339,1
1272,14208,1
1274,11620,1
1275,9627,1
1276,8817,1
1277,8942,1
1278,14268,1
1281,10570,1
1281,8243,3
1286,8173,1
1289,7547,1
1293,9744,1
1294,14154,1
1297,8783,1
1298,10462,1
1301,12759,2
1308,7929,2
1310,7577,1
1318,14447,1
1322,14627,3
1324,10276,3
1328,9635,5
1329,11896,1
1329,7627,1
1335,11360,1
1336,14162,1
1341,8555,1
1345,12788,3
1347,13854,1
1347,10937,1
1348,14807,1
1349,14038,1
1356,11215,1
1359,14577,1
1361,7792,1
1362,12767,2
1363,8123,1
1367,13102,1
1372,13030,1
1373,11002,3
1374,3454,1
1379,10802,1
1382,10741,1
1392,7833,1
1392,12686,1
1397,2690,1
1401,14951,2
1408,2855,1
1410,13734,2
1413,5195,1
1413,2507,4
1427,13156,1
1439,3597,1
1440,11528,2
1448,13862,1
1448,11798,1
1454,7504,1
1459,14366,1
1459,10287,1
1468,13989,1
1470,4623,3
1470,2376,3
1478,10317,1
1484,14833,1
1487,10323,6
1498,14308,1
1502,9410,1
1503,13777,1
1504,11225,1
1505,14918,1
1505,12080,1
1506,8980,2
1509,14358,5
1511,8541,1
1516,12109,2
1528,11457,1
1528,11080,1
1531,7726,1
1534,13980,1
1538,14808,1
1539,10840,4
1539,12738,3
1548,12977,1
1557,14535,1
1562,6034,1
1563,6632,1
1568,12272,1
1569,13853,2
1570,8171,1
1572,14175,2
1573,11844,1
1574,9359,1
1587,9612,1
1589,11211,1
1590,13894,2
1591,10989,1
1596,9071,1
1599,11660,3
1602,10506,1
1612,10602,4
1616,11125,2
1617,14750,2
1619,13027,1
1623,9988,1
1625,11376,1
1626,7678,2
1634,3160,1
1635,9266,1
1637,5723,1
1639,7994,1
1643,12916,1
1644,14409,1
1647,14157,1
1649,8149,1
1651,13753,1
1658,13817,1
1660,14711,2
1669,9872,1
1673,8751,1
1674,13353,1
1675,4923,1
1676,14711,1
1679,14879,1
1680,14150,3
1681,14418,1
1683,7688,1
1687,12284,1
1690,11088,1
1697,7975,1
1700,6484,4
1702,14320,1
1703,14884,3
1704,10806,1
1706,9619,1
1707,13006,1
1710,14935,4
1718,14065,4
1722,11428,1
1724,8196,1
1729,12494,1
1731,11128,2
1733,14373,11
1734,12848,4
1735,13042,1
1736,4546,1
1737,9854,1
1739,10747,1
1740,13523,1
1741,7608,6
1744,9051,1
1751,8511,1
1753,10467,1
1755,13228,3
1768,11551,2
1773,4748,1
1778,12382,4
1781,12269,2
1782,10567,1
1786,10943,2
1794,4785,2
1795,11597,1
1810,14877,1
1810,13944,2
1810,14731,1
1813,14460,1
1815,10111,1
1815,11233,1
1815,14018,1
1821,14305,1
1823,13392,1
1824,8930,1
1826,14161,1
1839,7778,3
1844,10353,3
1846,8471,1
1853,11209,1
1860,13424,2
1864,10523,1
1868,13637,1
1877,9486,1
1878,7554,1
1891,13701,1
1892,11612,4
1898,7657,1
1900,12115,2
1906,14474,4
1907,13931,3
1907,12472,1
1908,12720,2
1913,11051,1
1922,8219,1
1922,14921,1
1923,13517,1
1927,14272,1
1929,8015,1
1932,13176,1
1934,9242,2
1937,12186,1
1940,8665,2
1944,8629,1
1951,8751,1
1956,10368,1
1961,10667,1
1964,9977,2
1969,13500,1
1975,14812,1
1976,12897,1
1978,14051,1
1982,11425,1
1982,7891,1
1983,9621,2
1985,3881,2
1990,12384,1
1998,10042,1
2010,9645,2
2011,12470,2
2020,8828,3
2026,14450,1
2027,8928,2
2030,13550,1
2031,9502,2
2034,9015,1
2036,6472,1
2041,11714,1
2045,12576,6
2048,9653,2
2054,8946,1
2061,10398,1
2064,8569,2
2068,11479,1
2070,7517,1
2074,12308,2
2077,8024,1
2088,10908,1
2089,14628,1
2090,12636,2
2098,12093,1
2099,8434,1
2100,9932,1
2102,9994,1
2104,13436,4
2106,14994,1
2108,8100,1
2110,11941,7
2112,13351,1
2119,14726,1
2121,13702,2
2137,8540,2
2148,11238,3
2157,10177,1
2161,8149,1
2161,7507,1
2163,11262,1
2168,11647,1
2171,13438,1
2173,11494,2
2180,9268,2
2194,11278,3
2210,6753,2
2211,11700,3
2212,9398,1
2216,14156,2
2220,7763,1
2229,9652,1
2231,13976,1
2244,13210,1
2246,12564,1
2252,11648,1
2260,7733,2
2264,11751,1
2269,7270,1
2275,13516,1
2277,10870,1
2277,14470,1
2279,10070,1
2283,14687,3
2286,6433,1
2290,2310,1
2291,11019,1
2295,10683,1
2296,14166,1
2298,11267,1
2298,7874,1
2308,13625,1
2311,7809,1
2314,11619,1
2315,9002,1
2315,14582,1
2315,10625,3
2325,3988,1
2326,12201,1
2327,10799,1
2330,7621,1
2335,10990,1
2336,12847,1
2342,8310,1
2343,9945,2
2346,14950,1
2348,13581,1
2350,9454,2
2351,11330,2
2352,14456,6
2353,8325,1
2356,13451,4
2374,13810,1
2376,6821,1
2379,13677,1
2380,7920,1
2381,10105,5
2383,9996,1
2385,14835,2
2388,11939,1
2394,12070,1
2398,14739,1
2402,7664,1
2403,5564,1
2408,11722,1
2410,14451,1
2410,11656,2
2414,12143,2
2418,14400,1
2420,14692,1
2421,7828,2
2424,5504,1
2426,13524,1
2428,12516,1
2429,11062,1
2430,7790,3
2434,8907,1
2434,10338,2
2435,4197,2
2436,12642,2
2436,13390,1
2444,12869,1
2444,12098,1
2449,8076,2
2451,12991,1
2452,12900,1
2453,9474,1
2458,10794,1
2462,14352,1
2464,11330,3
2465,12398,1
2467,13377,4
2467,13102,1
2477,9042,1
2482,8986,2
2487,12156,1
2497,9077,2
2499,12970,1
2500,8067,1
2503,13740,1
2504,14245,1
2504,8584,2
2508,9967,1
2510,13357,1
2512,11521,1
2513,14425,1
2515,12525,1
2516,9047,1
2516,11493,1
2519,11691,1
2536,10665,1
2536,10138,1
2541,12537,1
2542,9059,1
2545,8960,1
2548,10606,1
2552,14308,1
2555,11880,1
2563,8962,1
2567,12257,1
2570,14657,2
2575,10642,1
2576,8917,1
2587,10624,1
2588,12148,1
2588,11945,2
2590,13132,1
2594,13025,1
2597,13100,1
2603,13893,1
2608,14335,1
2612,11068,3
2613,11094,1
2615,8158,1
2624,13126,1
2626,13280,1
2627,9252,1
2635,10544,1
2636,12337,1
2637,10350,1
2641,8772,1
2643,4889,1
2651,8781,1
2652,14649,1
2653,10118,1
2658,7886,1
2659,13526,1
2669,13213,1
2671,14130,2
2674,13589,1
2694,10659,1
2694,11703,1
2698,12430,1
2707,13783,1
2712,8045,1
2713,7848,1
2714,7988,1
2715,14062,1
2720,8012,1
2720,14122,1
2722,12073,1
2724,13205,2
2728,10584,2
2739,13162,1
2746,10368,1
2746,9143,1
2747,9375,3
2762,7567,1
2764,13779,2
2767,13819,1
2768,11502,1
2775,14154,2
2777,11227,1
2779,11893,1
2781,13760,1
2782,13252,1
2784,9212,1
2785,13057,1
2786,7599,2
2791,11970,1
2804,9159,1
2804,13727,8
2805,12765,1
2809,9874,1
2833,11859,1
2835,14373,1
2835,14869,2
2836,9562,2
2839,13777,1
2843,7667,1
2844,11746,1
2844,11951,1
2849,13408,1
2854,9569,1
2862,9714,1
2863,12215,1
2865,9358,1
2866,9587,1
2867,10493,1
2873,10876,1
2875,7748,2
2876,8161,1
2881,11469,1
2883,13290,1
2890,9114,1
2904,9528,2
2910,12424,1
2911,10671,1
2912,11304,3
2916,9136,1
2918,9142,1
2924,7966,1
2925,14334,1
2927,10884,1
2938,10396,1
2941,14172,4
2941,12437,1
2943,10456,3
2943,12436,1
2949,3381,5
2952,10262,2
2958,11426,1
2963,12802,1
2964,11741,1
2965,10570,1
2968,14270,2
2986,7760,1
2990,13151,2
2993,9310,1
2994,13932,6
3014,10029,1
3024,12917,1
3035,10473,1
3036,11875,1
3038,12242,1
3039,12066,1
3046,12555,1
3061,10497,1
3066,7524,1
3068,8430,1
3070,9365,2
3072,10546,5
3077,12320,4
3080,10425,1
3086,13300,2
3087,9485,1
3088,9193,1
3090,4225,1
3099,11583,1
3104,10921,1
3107,10499,1
3124,11220,1
3125,8135,1
3130,10106,3
3135,14260,1
3137,8254,2
3137,8816,1
3143,8924,1
3148,3990,2
3153,7970,1
3159,8262,3
3159,8579,1
3169,8830,1
3171,10835,1
3176,8801,1
3176,9991,2
3184,8483,2
3184,9998,2
3189,10079,1
3191,7783,1
3192,13898,4
3194,10756,1
3199,6531,1
3200,11675,1
3200,9265,1
3200,9187,1
3200,11586,3
3209,9405,2
3211,13019,18
3214,14178,1
3218,7909,1
3223,8085,1
3223,10328,1
3228,8695,1
3234,13130,8
3237,12578,1
3244,7570,1
3247,8467,1
3249,11033,1
3250,7335,1
3252,7647,1
3255,9013,1
3258,11590,1
3260,9656,4
3260,13486,6
3261,12827,4
3264,12528,1
3265,10050,1
3267,14313,1
3271,12736,1
3275,13565,1
3285,13510,2
3289,8420,1
3290,7919,2
3292,12519,2
3303,5194,1
3304,11522,1
3313,14608,1
3324,14999,1
3324,9195,1
3325,7715,1
3326,13571,1
3328,14382,1
3338,7511,1
3343,13417,1
3347,11572,1
3349,14698,1
3350,9852,1
3350,14572,1
3352,11727,2
3354,14232,1
3362,9759,1
3367,12392,1
3367,12686,1
3371,7755,1
3383,9338,1
3384,14386,1
3385,9648,1
3389,13107,1
3397,12892,1
3401,10179,1
3402,13501,1
3407,13238,1
3407,13015,1
3410,11222,1
3411,12243,2
3413,13140,1
3414,10136,2
3430,11350,1
3434,11711,3
3441,14327,3
3441,8433,1
3443,12229,1
3446,12873,1
3448,12422,2
3454,5486,1
3459,7595,2
3461,8302,2
3473,8779,1
3474,12142,2
3475,11104,2
3479,8319,1
3486,10640,1
3488,14502,2
3489,9786,2
3491,9496,2
3492,11789,1
3494,8548,1
3497,11647,2
3499,8955,2
3503,8793,1
3506,13274,1
3509,14948,5
3515,9677,1
3518,12113,1
3524,7615,1
3530,12923,1
3532,7618,1
3533,9797,2
3534,7639,1
3538,8867,1
3539,10414,1
3544,12795,1
3548,10810,1
3549,4347,1
3549,11225,1
3552,9568,1
3553,12880,1
3555,10577,1
3558,14809,1
3559,14049,1
3560,13846,1
3569,11208,1
3571,11344,1
3574,12550,1
3580,9191,1
3580,11459,1
3580,13989,1
3580,10639,1
3588,8841,2
3594,12626,1
3597,7203,1
3608,11145,3
3610,9558,1
3613,6757,1
3616,9158,1
3617,8627,3
3634,9218,1
3637,10431,1
3638,10500,1
3640,8388,1
3649,10718,2
3651,13539,2
3653,13587,1
3655,9660,1
3656,13037,2
3657,8105,3
3661,6025,1
3663,12298,1
3664,8618,1
3666,12283,1
3669,10985,1
3681,14505,1
3684,11480,1
3684,9063,1
3688,10424,1
3694,9572,1
3698,7772,3
3706,9349,1
3709,13734,2
3719,8628,1
3719,10368,1
3720,14771,1
3726,4498,1
3729,13688,1
3738,13173,1
3740,14582,1
3749,12119,4
3753,12904,1
3754,10705,1
3769,13148,2
3772,10009,2
3776,11273,1
3781,9298,2
3784,11081,1
3784,14954,4
3796,8996,2
3798,8810,1
3798,14202,2
3802,8845,1
3803,14548,1
3803,13653,1
3806,7984,3
3811,11726,1
3822,14568,1
3827,14826,1
3830,7564,1
3831,14888,1
3833,12721,2
3834,8463,1
3834,11995,1
3835,14277,2
3836,8409,1
3842,9630,1
3845,9080,2
3845,10068,1
3846,8557,1
3850,9215,1
3854,9794,1
3856,12291,6
3857,11961,1
3860,14391,1
3861,12338,2
3861,13647,2
3867,9923,2
3870,10174,1
3871,10986,1
3874,5426,1
3876,10142,1
3877,5273,1
3878,10902,1
3880,13265,1
3880,11961,1
3893,10417,2
3908,10290,1
3918,7783,1
3921,7508,3
3925,9402,2
3930,7984,1
3939,14226,1
3943,12192,1
